config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,4.0,0.3104285652179605,40.0,0.0,True,72.03488755226135,,1751024087.2750154,1751024014.964703,0.0,72.03488755226135,-1375704.0,1375704.0,4.0,B4k_L30_D60.txt,0.3104285652179605,40.0,72.03488755226135,0.0
10,complete,28.0,0.1669286880125272,15.0,11.0,True,18.55694341659546,,1751034085.5066895,1751034066.938763,10050.228613853455,18.55694341659546,-1375704.0,1375704.0,28.0,B4k_L30_D60.txt,0.1669286880125272,15.0,18.55694341659546,11.0
2,complete,14.0,0.1908575884885366,93.0,4.0,True,568.5347721576691,,1751024656.8942752,1751024088.3060791,72.03488755226135,568.5347721576691,-1375704.0,1375704.0,14.0,B4k_L30_D60.txt,0.1908575884885366,93.0,568.5347721576691,4.0
3,complete,30.0,0.42770747866646697,37.0,5.0,True,2829.264548778534,,1751027486.2722595,1751024656.9753144,640.5696597099304,2829.264548778534,-1375704.0,1375704.0,30.0,B4k_L30_D60.txt,0.42770747866646697,37.0,2829.264548778534,5.0
4,complete,10.0,0.40998789317668516,76.0,11.0,True,3851.0664036273956,,1751031337.3805592,1751027486.299677,3469.8342084884644,3851.0664036273956,-1375704.0,1375704.0,10.0,B4k_L30_D60.txt,0.40998789317668516,76.0,3851.0664036273956,11.0
5,complete,35.0,0.35110591396576923,42.0,9.0,True,2195.228406906128,,1751033532.69532,1751031337.4434955,7320.90061211586,2195.228406906128,-1375704.0,1375704.0,35.0,B4k_L30_D60.txt,0.35110591396576923,42.0,2195.228406906128,9.0
6,complete,21.0,0.3445286204699958,23.0,4.0,True,71.68474173545837,,1751033604.4089942,1751033532.7136722,9516.129019021988,71.68474173545837,-1375704.0,1375704.0,21.0,B4k_L30_D60.txt,0.3445286204699958,23.0,71.68474173545837,4.0
7,complete,22.0,0.4756246216516375,26.0,6.0,True,125.61852216720581,,1751033730.0745442,1751033604.4411159,9587.813760757446,125.61852216720581,-1375704.0,1375704.0,22.0,B4k_L30_D60.txt,0.4756246216516375,26.0,125.61852216720581,6.0
8,complete,34.0,0.4230694098096594,54.0,5.0,True,305.69269466400146,,1751034035.79923,1751033730.094553,9713.432282924652,305.69269466400146,-1375704.0,1375704.0,34.0,B4k_L30_D60.txt,0.4230694098096594,54.0,305.69269466400146,5.0
9,complete,3.0,0.43151312546052406,59.0,10.0,True,31.103636264801025,,1751034066.925761,1751034035.8121212,10019.124977588654,31.103636264801025,-1375704.0,1375704.0,3.0,B4k_L30_D60.txt,0.43151312546052406,59.0,31.103636264801025,10.0
