config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,7.0,0.283818539410849,92.0,7.0,True,40.740898847579956,,1751319639.3245182,1751319598.476113,0.0,40.740898847579956,-869.0,869.0,7.0,B90k_L850_D21.txt,0.283818539410849,92.0,40.740898847579956,7.0
10,complete,6.0,0.03420590556682074,34.0,2.0,True,0.6126101016998291,,1751319922.9166265,1751319922.290115,321.49392223358154,0.6126101016998291,-869.0,869.0,6.0,B90k_L850_D21.txt,0.03420590556682074,34.0,0.6126101016998291,2.0
2,complete,6.0,0.22946250841836344,15.0,6.0,True,4.62053918838501,,1751319645.5060866,1751319640.8275487,40.740898847579956,4.62053918838501,-869.0,869.0,6.0,B90k_L850_D21.txt,0.22946250841836344,15.0,4.62053918838501,6.0
3,complete,33.0,0.4355378512829257,100.0,9.0,True,199.63479089736938,,1751319845.2575688,1751319645.5891197,45.361438035964966,199.63479089736938,-869.0,869.0,33.0,B90k_L850_D21.txt,0.4355378512829257,100.0,199.63479089736938,9.0
4,complete,13.0,0.4157975858686327,36.0,12.0,True,13.470215082168579,,1751319858.839809,1751319845.3310301,244.99622893333435,13.470215082168579,-869.0,869.0,13.0,B90k_L850_D21.txt,0.4157975858686327,36.0,13.470215082168579,12.0
5,complete,36.0,0.09421698002328162,53.0,7.0,True,13.825695753097534,,1751319872.7542164,1751319858.89802,258.46644401550293,13.825695753097534,-869.0,869.0,36.0,B90k_L850_D21.txt,0.09421698002328162,53.0,13.825695753097534,7.0
6,complete,15.0,0.20485620376615368,54.0,6.0,True,9.946789979934692,,1751319882.7445395,1751319872.7757633,272.29213976860046,9.946789979934692,-869.0,869.0,15.0,B90k_L850_D21.txt,0.20485620376615368,54.0,9.946789979934692,6.0
7,complete,6.0,0.33501123391344234,21.0,4.0,True,2.4949588775634766,,1751319885.3375807,1751319882.812625,282.23892974853516,2.4949588775634766,-869.0,869.0,6.0,B90k_L850_D21.txt,0.33501123391344234,21.0,2.4949588775634766,4.0
8,complete,28.0,0.3385191448257211,22.0,12.0,True,16.43962550163269,,1751319901.8578014,1751319885.4008045,284.73388862609863,16.43962550163269,-869.0,869.0,28.0,B90k_L850_D21.txt,0.3385191448257211,22.0,16.43962550163269,12.0
9,complete,33.0,0.1467045910478231,58.0,8.0,True,20.32040810585022,,1751319922.2652793,1751319901.9277754,301.1735141277313,20.32040810585022,-869.0,869.0,33.0,B90k_L850_D21.txt,0.1467045910478231,58.0,20.32040810585022,8.0
