config_id,status,config.hill_climbing_steps,config.mutation_prob,config.population_size,config.tabu_length,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.fitness_score,result.info_dict.hill_climbing_steps,result.info_dict.input_file,result.info_dict.mutation_prob,result.info_dict.population_size,result.info_dict.runtime,result.info_dict.tabu_length
1,complete,0.0,0.20260346968223522,61.0,9.0,True,0.1592698097229004,,1750977903.617728,1750977903.440848,0.0,0.1592698097229004,-48465.0,48465.0,0.0,B500_L14_D18.txt,0.20260346968223522,61.0,0.1592698097229004,9.0
10,complete,4.0,0.40631996676209065,24.0,3.0,True,1.1817119121551514,,1750977959.3222253,1750977958.130509,54.10033869743347,1.1817119121551514,-48465.0,48465.0,4.0,B500_L14_D18.txt,0.40631996676209065,24.0,1.1817119121551514,3.0
2,complete,15.0,0.4841082097158329,53.0,13.0,True,12.585965633392334,,1750977916.4187787,1750977903.8256376,0.1592698097229004,12.585965633392334,-48465.0,48465.0,15.0,B500_L14_D18.txt,0.4841082097158329,53.0,12.585965633392334,13.0
3,complete,31.0,0.26882100136858994,72.0,14.0,True,19.04860281944275,,1750977935.5285783,1750977916.4580054,12.745235443115234,19.04860281944275,-48465.0,48465.0,31.0,B500_L14_D18.txt,0.26882100136858994,72.0,19.04860281944275,14.0
4,complete,11.0,0.04802156947420985,83.0,10.0,True,1.4416546821594238,,1750977936.987669,1750977935.5388887,31.793838262557983,1.4416546821594238,-48465.0,48465.0,11.0,B500_L14_D18.txt,0.04802156947420985,83.0,1.4416546821594238,10.0
5,complete,12.0,0.47566330742936114,50.0,8.0,True,8.54081392288208,,1750977945.5777879,1750977937.0099788,33.23549294471741,8.54081392288208,-48465.0,48465.0,12.0,B500_L14_D18.txt,0.47566330742936114,50.0,8.54081392288208,8.0
6,complete,29.0,0.032152435965161416,82.0,5.0,True,1.8149161338806152,,1750977947.469679,1750977945.6398695,41.77630686759949,1.8149161338806152,-48465.0,48465.0,29.0,B500_L14_D18.txt,0.032152435965161416,82.0,1.8149161338806152,5.0
7,complete,16.0,0.19994561313147183,56.0,4.0,True,5.142999887466431,,1750977952.6391826,1750977947.4862297,43.5912230014801,5.142999887466431,-48465.0,48465.0,16.0,B500_L14_D18.txt,0.19994561313147183,56.0,5.142999887466431,4.0
8,complete,37.0,0.30655730635507994,20.0,1.0,True,5.172348499298096,,1750977957.8785157,1750977952.6981776,48.73422288894653,5.172348499298096,-48465.0,48465.0,37.0,B500_L14_D18.txt,0.30655730635507994,20.0,5.172348499298096,1.0
9,complete,14.0,0.019755626036501814,17.0,4.0,True,0.19376730918884277,,1750977958.1121807,1750977957.9054132,53.90657138824463,0.19376730918884277,-48465.0,48465.0,14.0,B500_L14_D18.txt,0.019755626036501814,17.0,0.19376730918884277,4.0
